Ball,Score,Outcome,Innings
40.4,7--210,C Fatchen to W Forster : 6 runs,2nd Innings - Port Adelaide
40.3,7--204,C Fatchen to B Turley : 1 run,2nd Innings - Port Adelaide
40.2,7--203,C Fatchen to B Turley : No Run,2nd Innings - Port Adelaide
40.1,7--203,C Fatchen to W Forster : 1 run,2nd Innings - Port Adelaide
39.6,7--202,S Mcvann to W Forster : 1 run,2nd Innings - Port Adelaide
39.5,7--201,S Mcvann to W Forster : 4 runs,2nd Innings - Port Adelaide
39.4,7--197,S Mcvann to B Turley : 1 run,2nd Innings - Port Adelaide
39.3,7--196,S Mcvann to W Forster : 1 run,2nd Innings - Port Adelaide
39.2,7--195,S Mcvann to W Forster : 4b,2nd Innings - Port Adelaide
39.1,7--191,S Mcvann to B Turley : 1 run,2nd Innings - Port Adelaide
38.6,7--190,J Doyle to B Turley : 1 run,2nd Innings - Port Adelaide
38.5,7--189,J Doyle to B Turley : 6 runs,2nd Innings - Port Adelaide
38.4,7--183,J Doyle to W Forster : 1 run,2nd Innings - Port Adelaide
38.3,7--182,J Doyle to B Turley : 1 run,2nd Innings - Port Adelaide
38.2,7--181,J Doyle to Z McCabe : Z McCabe dismissed,2nd Innings - Port Adelaide
38.1,6--181,J Doyle to Z McCabe : 6 runs,2nd Innings - Port Adelaide
37.6,6--175,S Mcvann to Z McCabe : 1 run,2nd Innings - Port Adelaide
37.5,6--174,S Mcvann to Z McCabe : 2 runs,2nd Innings - Port Adelaide
37.4,6--172,S Mcvann to Z McCabe : No Run,2nd Innings - Port Adelaide
37.3,6--172,S Mcvann to W Forster : 1 run,2nd Innings - Port Adelaide
37.2,6--171,S Mcvann to W Forster : 4 runs,2nd Innings - Port Adelaide
37.1,6--167,S Mcvann to Z McCabe : 1 run,2nd Innings - Port Adelaide
36.6,6--166,J Doyle to W Forster : No Run,2nd Innings - Port Adelaide
36.5,6--166,J Doyle to Z McCabe : 1 run,2nd Innings - Port Adelaide
36.4,6--165,J Doyle to W Forster : 1 run,2nd Innings - Port Adelaide
36.3,6--164,J Doyle to W Forster : No Run,2nd Innings - Port Adelaide
36.2,6--164,J Doyle to W Forster : No Run,2nd Innings - Port Adelaide
36.1,6--164,J Doyle to W Forster : 2 runs,2nd Innings - Port Adelaide
35.6,6--162,E Bamber to Z McCabe : No Run,2nd Innings - Port Adelaide
35.5,6--162,E Bamber to W Forster : 1 run,2nd Innings - Port Adelaide
35.4,6--161,E Bamber to W Forster : 2 runs,2nd Innings - Port Adelaide
35.3,6--159,E Bamber to W Forster : No Run,2nd Innings - Port Adelaide
35.2,6--159,E Bamber to W Forster : No Run,2nd Innings - Port Adelaide
35.1,6--159,E Bamber to W Forster : 6 runs,2nd Innings - Port Adelaide
34.6,6--153,J Doyle to Z McCabe : No Run,2nd Innings - Port Adelaide
34.5,6--153,J Doyle to Z McCabe : 6 runs,2nd Innings - Port Adelaide
34.4,6--147,J Doyle to W Forster : 1 run,2nd Innings - Port Adelaide
34.3,6--146,J Doyle to Z McCabe : 1 run,2nd Innings - Port Adelaide
34.2,6--145,J Doyle to Z McCabe : No Run,2nd Innings - Port Adelaide
34.1,6--145,J Doyle to Z McCabe : 2 runs,2nd Innings - Port Adelaide
33.6,6--143,E Bamber to Z McCabe : 1 run,2nd Innings - Port Adelaide
33.5,6--142,E Bamber to W Forster : 1 run,2nd Innings - Port Adelaide
33.4,6--141,E Bamber to W Forster : No Run,2nd Innings - Port Adelaide
33.3,6--141,E Bamber to W Forster : No Run,2nd Innings - Port Adelaide
33.2,6--141,E Bamber to Z McCabe : 1 run,2nd Innings - Port Adelaide
33.1,6--140,E Bamber to W Forster : 1 run,2nd Innings - Port Adelaide
32.6,6--139,J Doyle to Z McCabe : 2 runs,2nd Innings - Port Adelaide
32.5,6--137,J Doyle to Z McCabe : No Run,2nd Innings - Port Adelaide
32.4,6--137,J Doyle to Z McCabe : No Run,2nd Innings - Port Adelaide
32.3,6--137,J Doyle to Z McCabe : No Run,2nd Innings - Port Adelaide
32.2,6--137,J Doyle to W Forster : 1 run,2nd Innings - Port Adelaide
32.1,6--136,J Doyle to W Forster : No Run,2nd Innings - Port Adelaide
31.6,6--136,E Bamber to W Forster : 1 run,2nd Innings - Port Adelaide
31.5,6--135,E Bamber to W Forster : No Run,2nd Innings - Port Adelaide
31.4,6--135,E Bamber to Z McCabe : 1 run,2nd Innings - Port Adelaide
31.3,6--134,E Bamber to W Forster : 1 run,2nd Innings - Port Adelaide
31.2,6--133,E Bamber to Z McCabe : 1 run,2nd Innings - Port Adelaide
31.1,6--132,E Bamber to Z McCabe : No Run,2nd Innings - Port Adelaide
30.6,6--132,J Cleggett to W Forster : No Run,2nd Innings - Port Adelaide
30.5,6--132,J Cleggett to W Forster : No Run,2nd Innings - Port Adelaide
30.4,6--132,J Cleggett to Z McCabe : 1 run,2nd Innings - Port Adelaide
30.3,6--131,J Cleggett to Z McCabe : 6 runs,2nd Innings - Port Adelaide
