Ball,Score,Outcome,Innings
90.3,10--217,T Robins to A Whicker : A Whicker dismissed,1st Innings - Port Adelaide
90.2,9--217,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
90.1,9--217,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
89.6,9--217,Z Keogh to L Greber : No Run,1st Innings - Port Adelaide
89.5,9--217,Z Keogh to L Greber : No Run,1st Innings - Port Adelaide
89.4,9--217,Z Keogh to L Greber : No Run,1st Innings - Port Adelaide
89.3,9--217,Z Keogh to L Greber : No Run,1st Innings - Port Adelaide
89.2,9--217,Z Keogh to L Greber : No Run,1st Innings - Port Adelaide
89.1,9--217,Z Keogh to L Greber : No Run,1st Innings - Port Adelaide
88.7,9--217,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
88.6,9--217,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
88.5,9--217,T Robins to A Whicker : 5wd,1st Innings - Port Adelaide
88.4,9--212,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
88.3,9--212,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
88.2,9--212,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
88.1,9--212,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
87.6,9--212,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
87.5,9--212,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
87.4,9--212,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
87.3,9--212,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
87.2,9--212,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
87.1,9--212,M Cranmer to L Greber : 2 runs,1st Innings - Port Adelaide
86.6,9--210,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
86.5,9--210,T Robins to A Whicker : 4 runs,1st Innings - Port Adelaide
86.4,9--206,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
86.3,9--206,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
86.2,9--206,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
86.1,9--206,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
85.6,9--206,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
85.5,9--206,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
85.4,9--206,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
85.3,9--206,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
85.2,9--206,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
85.1,9--206,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
84.6,9--206,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
84.5,9--206,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
84.4,9--206,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
84.3,9--206,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
84.2,9--206,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
84.1,9--206,T Robins to A Whicker : No Run,1st Innings - Port Adelaide
83.6,9--206,J Size to L Greber : No Run,1st Innings - Port Adelaide
83.5,9--206,J Size to L Greber : No Run,1st Innings - Port Adelaide
83.4,9--206,J Size to L Greber : 4 runs,1st Innings - Port Adelaide
83.3,9--202,J Size to L Greber : No Run,1st Innings - Port Adelaide
83.2,9--202,J Size to L Greber : No Run,1st Innings - Port Adelaide
83.1,9--202,J Size to L Greber : No Run,1st Innings - Port Adelaide
82.6,9--202,D King to A Whicker : No Run,1st Innings - Port Adelaide
82.5,9--202,D King to A Whicker : No Run,1st Innings - Port Adelaide
82.4,9--202,D King to A Whicker : No Run,1st Innings - Port Adelaide
82.3,9--202,D King to A Whicker : No Run,1st Innings - Port Adelaide
82.2,9--202,D King to A Whicker : No Run,1st Innings - Port Adelaide
82.1,9--202,D King to A Whicker : No Run,1st Innings - Port Adelaide
81.6,9--202,J Size to L Greber : 4 runs,1st Innings - Port Adelaide
81.5,9--198,J Size to L Greber : No Run,1st Innings - Port Adelaide
81.4,9--198,J Size to L Greber : No Run,1st Innings - Port Adelaide
81.3,9--198,J Size to L Greber : No Run,1st Innings - Port Adelaide
81.2,9--198,J Size to L Greber : No Run,1st Innings - Port Adelaide
81.1,9--198,J Size to L Greber : 2 runs,1st Innings - Port Adelaide
80.6,9--196,D King to A Whicker : No Run,1st Innings - Port Adelaide
80.5,9--196,D King to L Greber : 1 run,1st Innings - Port Adelaide
