Ball,Score,Outcome,Innings
60.5,8--160,J Kann to C McFadyen : No Run,1st Innings - Adelaide
60.4,8--160,J Kann to C McFadyen : No Run,1st Innings - Adelaide
60.3,8--160,J Kann to C McFadyen : No Run,1st Innings - Adelaide
60.2,8--160,J Kann to C McFadyen : No Run,1st Innings - Adelaide
60.1,8--160,J Kann to C McFadyen : No Run,1st Innings - Adelaide
59.7,8--160,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
59.6,8--160,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
59.5,8--160,T Andrews to A Stockdale : 1nb,1st Innings - Adelaide
59.4,8--159,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
59.3,8--159,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
59.2,8--159,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
59.1,8--159,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
58.6,8--159,J Kann to C McFadyen : No Run,1st Innings - Adelaide
58.5,8--159,J Kann to C McFadyen : No Run,1st Innings - Adelaide
58.4,8--159,J Kann to C McFadyen : No Run,1st Innings - Adelaide
58.3,8--159,J Kann to C McFadyen : No Run,1st Innings - Adelaide
58.2,8--159,J Kann to C McFadyen : No Run,1st Innings - Adelaide
58.1,8--159,J Kann to C McFadyen : No Run,1st Innings - Adelaide
57.7,8--159,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
57.6,8--159,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
57.5,8--159,T Andrews to A Stockdale : 1nb,1st Innings - Adelaide
57.4,8--158,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
57.3,8--158,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
57.2,8--158,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
57.1,8--158,T Andrews to A Stockdale : No Run,1st Innings - Adelaide
56.6,8--158,J Kann to C McFadyen : No Run,1st Innings - Adelaide
56.5,8--158,J Kann to C McFadyen : No Run,1st Innings - Adelaide
56.4,8--158,J Kann to C McFadyen : No Run,1st Innings - Adelaide
