Ball,Score,Outcome,Innings
44.6,10--215,J Kann to T Barrett : T Barrett dismissed,1st Innings - Tea Tree Gully
44.5,9--215,J Kann to T Oakley : 1 run,1st Innings - Tea Tree Gully
44.4,9--214,J Kann to T Barrett : 1 run,1st Innings - Tea Tree Gully
44.3,9--213,J Kann to T Oakley : 1 run,1st Innings - Tea Tree Gully
44.2,9--212,J Kann to T Oakley : No Run,1st Innings - Tea Tree Gully
44.1,9--212,J Kann to T Barrett : 1 run,1st Innings - Tea Tree Gully
43.6,9--211,B Turley to T Barrett : 1b,1st Innings - Tea Tree Gully
43.5,9--210,B Turley to T Barrett : 6 runs,1st Innings - Tea Tree Gully
43.4,9--204,B Turley to T Oakley : 1 run,1st Innings - Tea Tree Gully
43.3,9--203,B Turley to T Barrett : 1 run,1st Innings - Tea Tree Gully
43.2,9--202,B Turley to T Oakley : 1 run,1st Innings - Tea Tree Gully
43.1,9--201,B Turley to T Barrett : 1 run,1st Innings - Tea Tree Gully
42.6,9--200,J Kann to T Barrett : 1 run,1st Innings - Tea Tree Gully
42.5,9--199,J Kann to T Barrett : No Run,1st Innings - Tea Tree Gully
42.4,9--199,J Kann to T Barrett : 2 runs,1st Innings - Tea Tree Gully
42.3,9--197,J Kann to T Oakley : 1lb,1st Innings - Tea Tree Gully
42.2,9--196,J Kann to E Gregoric : E Gregoric dismissed,1st Innings - Tea Tree Gully
42.1,8--196,J Kann to E Gregoric : No Run,1st Innings - Tea Tree Gully
41.6,8--196,B Turley to E Gregoric : 1 run,1st Innings - Tea Tree Gully
41.5,8--195,B Turley to N Stathoris : N Stathoris dismissed,1st Innings - Tea Tree Gully
41.4,7--195,B Turley to D Ironside : D Ironside dismissed,1st Innings - Tea Tree Gully
41.3,6--195,B Turley to T Barrett : 1 run,1st Innings - Tea Tree Gully
41.2,6--194,B Turley to T Barrett : 4 runs,1st Innings - Tea Tree Gully
41.1,6--190,B Turley to D Ironside : 1 run,1st Innings - Tea Tree Gully
40.6,6--189,T Andrews to T Barrett : No Run,1st Innings - Tea Tree Gully
40.5,6--189,T Andrews to D Ironside : 1 run,1st Innings - Tea Tree Gully
40.4,6--188,T Andrews to T Barrett : 1 run,1st Innings - Tea Tree Gully
40.3,6--187,T Andrews to T Barrett : No Run,1st Innings - Tea Tree Gully
40.2,6--187,T Andrews to T Barrett : 2 runs,1st Innings - Tea Tree Gully
40.1,6--185,T Andrews to T Barrett : No Run,1st Innings - Tea Tree Gully
39.6,6--185,B Turley to D Ironside : 2 runs,1st Innings - Tea Tree Gully
39.5,6--183,B Turley to T Barrett : 1 run,1st Innings - Tea Tree Gully
39.4,6--182,B Turley to D Ironside : 1 run,1st Innings - Tea Tree Gully
39.3,6--181,B Turley to T Barrett : 1 run,1st Innings - Tea Tree Gully
39.2,6--180,B Turley to T Barrett : 6 runs,1st Innings - Tea Tree Gully
39.1,6--174,B Turley to T Barrett : 6 runs,1st Innings - Tea Tree Gully
38.6,6--168,T Andrews to T Barrett : 1 run,1st Innings - Tea Tree Gully
