Ball,Score,Outcome,Innings
79.4,10--260,B Turley to c Hathurusinghe : c Hathurusinghe dismissed,1st Innings - Woodville
79.3,9--260,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
79.2,9--260,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
79.1,9--260,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
78.6,9--260,C Valente to L Connors : 2 runs,1st Innings - Woodville
78.5,9--258,C Valente to L Connors : No Run,1st Innings - Woodville
78.4,9--258,C Valente to L Connors : 4 runs,1st Innings - Woodville
78.3,9--254,C Valente to L Connors : 2 runs,1st Innings - Woodville
78.2,9--252,C Valente to L Connors : No Run,1st Innings - Woodville
78.1,9--252,C Valente to L Connors : 4 runs,1st Innings - Woodville
77.6,9--248,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
77.5,9--248,B Turley to c Hathurusinghe : 4 runs,1st Innings - Woodville
77.4,9--244,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
77.3,9--244,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
77.2,9--244,B Turley to L Connors : 1 run,1st Innings - Woodville
77.1,9--243,B Turley to L Connors : No Run,1st Innings - Woodville
76.6,9--243,C Valente to c Hathurusinghe : No Run,1st Innings - Woodville
76.5,9--243,C Valente to c Hathurusinghe : 4 runs,1st Innings - Woodville
76.4,9--239,C Valente to c Hathurusinghe : No Run,1st Innings - Woodville
76.3,9--239,C Valente to c Hathurusinghe : No Run,1st Innings - Woodville
76.2,9--239,C Valente to c Hathurusinghe : No Run,1st Innings - Woodville
76.1,9--239,C Valente to c Hathurusinghe : No Run,1st Innings - Woodville
75.6,9--239,B Turley to L Connors : No Run,1st Innings - Woodville
75.5,9--239,B Turley to M Tanner : M Tanner dismissed,1st Innings - Woodville
75.4,8--239,B Turley to M Tanner : No Run,1st Innings - Woodville
75.3,8--239,B Turley to M Tanner : No Run,1st Innings - Woodville
75.2,8--239,B Turley to M Tanner : No Run,1st Innings - Woodville
75.1,8--239,B Turley to M Tanner : No Run,1st Innings - Woodville
74.6,8--239,T Andrews to c Hathurusinghe : No Run,1st Innings - Woodville
74.5,8--239,T Andrews to c Hathurusinghe : No Run,1st Innings - Woodville
74.4,8--239,T Andrews to c Hathurusinghe : No Run,1st Innings - Woodville
74.3,8--239,T Andrews to c Hathurusinghe : No Run,1st Innings - Woodville
74.2,8--239,T Andrews to c Hathurusinghe : No Run,1st Innings - Woodville
74.1,8--239,T Andrews to c Hathurusinghe : No Run,1st Innings - Woodville
73.6,8--239,B Turley to M Tanner : No Run,1st Innings - Woodville
73.5,8--239,B Turley to M Tanner : No Run,1st Innings - Woodville
73.4,8--239,B Turley to M Tanner : No Run,1st Innings - Woodville
73.3,8--239,B Turley to M Tanner : No Run,1st Innings - Woodville
73.2,8--239,B Turley to c Hathurusinghe : 1 run,1st Innings - Woodville
73.1,8--238,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
72.6,8--238,T Andrews to M Tanner : No Run,1st Innings - Woodville
72.5,8--238,T Andrews to M Tanner : No Run,1st Innings - Woodville
72.4,8--238,T Andrews to W Foley : W Foley dismissed,1st Innings - Woodville
72.3,7--238,T Andrews to W Foley : No Run,1st Innings - Woodville
72.2,7--238,T Andrews to W Foley : No Run,1st Innings - Woodville
72.1,7--238,T Andrews to W Foley : No Run,1st Innings - Woodville
71.6,7--238,B Turley to W Foley : 1 run,1st Innings - Woodville
71.5,7--237,B Turley to W Foley : No Run,1st Innings - Woodville
71.4,7--237,B Turley to c Hathurusinghe : 1 run,1st Innings - Woodville
71.3,7--236,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
71.2,7--236,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
71.1,7--236,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
70.6,7--236,T Andrews to W Foley : No Run,1st Innings - Woodville
70.5,7--236,T Andrews to W Foley : No Run,1st Innings - Woodville
70.4,7--236,T Andrews to W Foley : No Run,1st Innings - Woodville
70.3,7--236,T Andrews to W Foley : No Run,1st Innings - Woodville
70.2,7--236,T Andrews to W Foley : No Run,1st Innings - Woodville
70.1,7--236,T Andrews to W Foley : No Run,1st Innings - Woodville
69.6,7--236,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
69.5,7--236,B Turley to c Hathurusinghe : No Run,1st Innings - Woodville
69.4,7--236,B Turley to C Behrendt : C Behrendt dismissed,1st Innings - Woodville
69.3,6--236,B Turley to C Behrendt : No Run,1st Innings - Woodville
69.2,6--236,B Turley to C Behrendt : No Run,1st Innings - Woodville
69.1,6--236,B Turley to C Behrendt : No Run,1st Innings - Woodville
68.6,6--236,T Andrews to W Foley : No Run,1st Innings - Woodville
